  89089  137.318588   -9.659271   7974.70  10929.33        2.001        1.067        0.308        1.480        0.290        2.275        0.542        2.867        0.514   6.359   99   12        1.141        0.093        1.302        0.173   3.084    0 0.02  9801.000      0
  89090  137.272079   -9.659688   8867.07  10921.64        3.284       -0.340        0.371        0.105        0.297        0.901        0.545        2.663        0.536   6.359   99   10        0.582        0.095        1.528        0.173   3.084    0 0.10  9801.000      0
  89091  137.707703   -9.657857    509.83  10948.58       20.274        4.466        0.338        8.973        0.595       13.185        1.165      -99.000      -99.000   6.359   99    0        7.480        0.282       10.742        0.545   3.744    0 0.03  9801.000      0
  89092  137.585815   -9.659788   2848.24  10914.50        0.010        1.372        0.341        2.225        0.324        2.858        0.662       11.937        0.449   6.359   99    4        0.435        0.106        0.733        0.213   3.084    1 0.31  9801.000      0
  89093  137.374619   -9.659998   6900.02  10914.53        1.053        0.203        0.338        0.180        0.286       -0.412        0.528        0.226        0.807   6.359   99    9        0.444        0.095        0.341        0.169   3.084    0 0.42  9801.000      0
  89094  136.871613   -9.659953  16549.36  10915.06        0.131        0.924        0.295        0.989        0.278        1.409        0.531        1.894        1.468   6.359   99    4        0.305        0.091        0.459        0.169   3.084    0 0.22  9801.000      0
  89095  136.622253   -9.659622  21333.29  10916.06        1.082      -99.000      -99.000        1.185        0.474        1.338        0.772      -99.000      -99.000   6.359   99    0        0.798        0.155        0.850        0.249   3.084    0 0.54  9801.000      0
  89096  136.675110   -9.658622  20319.30  10936.97       36.281      -99.000      -99.000       18.784        0.312       23.288        0.577       18.320        0.755   6.359   99    4       18.886        0.102       23.582        0.186   3.084    0 0.98  9801.000      0
  89097  137.664780   -9.655854   1333.32  10988.88      824.942       86.982        0.305      309.405        0.591      539.614        1.165      708.387      142.417   6.359   99    2      308.899        0.193      537.481        0.374   3.084    0 1.00  9801.000      0
  89098  136.756683   -9.659326  18754.39  10925.21        3.349      -99.000      -99.000        0.636        0.305        1.708        0.574       -0.027        0.496   6.359   99    6        0.925        0.099        1.942        0.182   3.084    0 0.72  9801.000      0
  89099  136.562698   -9.659258  22475.71  10921.34        2.487      -99.000      -99.000        0.749        0.534        0.985        0.839      -99.000      -99.000   6.359   99    0        0.758        0.174        1.316        0.270   3.084    0 0.93  9801.000      0
  89100  136.816849   -9.659807  17600.13  10917.01        1.152      -99.000      -99.000        0.167        0.278        0.353        0.524       -0.116        1.027   6.359   99    6        0.177        0.133        0.478        0.245   3.767    0 0.66  9801.000      0
  89101  137.158386   -9.659973  11048.07  10916.60        0.594        0.212        0.410        0.409        0.301       -0.022        0.549       -0.746        0.525   6.359   99   15        0.425        0.097        0.337        0.178   3.084    0 0.58  9801.000      0
  89102  137.342285   -9.659828   7520.18  10918.22        2.260        0.122        0.305        0.644        0.282        0.342        0.528        1.323        0.852   6.359   99   10        0.832        0.091        0.934        0.169   3.084    0 0.11  9801.000      0
  89103  136.869339   -9.657871  16592.99  10955.53      123.613        4.119        0.298       27.083        0.286       77.908        0.531      102.464        3.789   6.359   99    6       27.248        0.093       78.052        0.171   3.084    0 0.98  9801.000      0
  89104  136.763809   -9.658916  18617.71  10933.34        4.784      -99.000      -99.000        0.856        0.293        2.303        0.535        5.723        0.744   6.359   99    6        0.667        0.099        2.081        0.184   3.384    0 0.07  9801.000      0
  89105  137.335724   -9.659885   7646.13  10917.19        0.770       -0.239        0.308        0.018        0.282        0.144        0.531        1.699        0.874   6.359   99   10        0.164        0.093        0.354        0.169   3.084    0 0.19  9801.000      0
  89106  136.718140   -9.659615  19493.80  10918.73        2.469      -99.000      -99.000        0.831        0.312        1.614        0.577        2.606        1.471   6.359   99    6        0.926        0.102        1.763        0.186   3.084    0 0.90  9801.000      0
  89107  136.836334   -9.659795  17226.26  10917.59        1.199        0.164        0.289        1.053        0.282        1.318        0.524        1.579        0.995   6.359   99    4        0.454        0.097        0.657        0.182   3.455    0 0.53  9801.000      1
  89108  136.964249   -9.659816  14772.34  10918.86        0.995        0.761        0.338        0.992        0.282        1.132        0.531        2.534        1.024   6.359   99    6        0.663        0.091        0.858        0.169   3.084    0 0.22  9801.000      0
